,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
145,XDt_bXNsePg,100+ BEST CRAZY CHALLENGES AND BATTLES FOR 24 HOURS || Funniest Moments by Ideas 4 Fun Challenge,2021-01-06T14:10:10Z,UC3FqPgwBAKiufzQxxFCu4rA,Ideas 4 Fun CHALLENGE,22,21.11.01,challenge|ideas4fun|best challenges|crazy challenge|food challenge|ideas 4 fun live|funny moments,463848,3702,708,9,https://i.ytimg.com/vi/XDt_bXNsePg/default.jpg,False,False,"Do you guys love challenges?And the most different confrontations between girls?Or are you amazed by the wide variety of food battles?Then why don't you and your friends watch some amazing challenges?And of course, subscribe to the Ideas4Fun to watch more cool videos!#challenge #food #Ideas4FunChallenge"
163,Z-iqzkUd0ac,WHY MICHELLE DY WILL QUIT | Toni Gonzaga,2020-12-22T08:20:27Z,UCgTar4TrvIBvrlMdPUgbFfg,Celestine Gonzaga-Soriano,22,21.11.01,[none],2542417,113421,1421,6573,https://i.ytimg.com/vi/Z-iqzkUd0ac/default.jpg,False,False,"Michelle started vlogging even before most of us were not yet into YouTube. With all the prejudices thrown at her, losing the only friend she had, what will really make her quit?"
164,Tpx9nfy2p3I,Tik Tok - [JACK] Chàng Họa Sĩ Triệu View Trong Làng Anime - Amazing Satisfying Painting P2,2020-12-16T10:00:23Z,UCWeLKLtQZc-muu_4DVA2LrQ,HĐT Tik Tok,22,21.11.01,jack|jack chàng họa sĩ triệu view|jack chàng họa sĩ triệu view trong làng anime|anime|họa sĩ triệu view trong làng anime|amazing|amazing tik tok|tik tok|tik tok china|tik tok anime|satisfying|painting|amazing satisfying painting|tik tok triệu view|chàng họa sĩ triệu view trong làng anime p2|thánh vẽ truyện|hoạt hình|jack chàng họa sĩ triệu view p2|hđt tik tok,6716512,69626,4462,1116,https://i.ytimg.com/vi/Tpx9nfy2p3I/default.jpg,False,False,Tik Tok - [JACK] Chàng Họa Sĩ Triệu View Trong Làng Anime - Amazing Satisfying Painting P2#TikTok #TikTokTrungQuốc---------------------------------------------☞ Thanks for watching my video. Please subscribe channel© Copyright by HĐT Tik Tok
166,HGNL4ep0KlY,ENHYPEN Reveals Who's The Best Dancer Who Takes The Most Selfies And More | Superlatives | Seventeen,2020-12-30T22:00:03Z,UC0IXvMUUPeYNVGe88ieMDEg,Seventeen,26,21.11.01,Heeseung|Jay|Jake|Sunghoon|Sunoo|Jungwon|Ni-ki|enhypen|big hit|enhypen heeseung|lee heeseung|enhypen interview|enhypen seventeen|enhyphen|kpop|enhypen kpop|enhypen members|enyhypen let me in|엔하이픈|enhypen reaction|enhypen given taken|enhypen dance|enhypen dancing|bts enhyphen interaction|enhypen interview with subtitles|seventeen|seventeen magazine|seventeen youtube|17 youtube|enhypen members profile|enhypen profile|k-pop|big hit enhypen,755216,93550,408,3594,https://i.ytimg.com/vi/HGNL4ep0KlY/default.jpg,False,False,"We asked Big Hit's newest Kpop stars  ENHYPEN (HEESEUNG, JAY, JAKE, SUNGHOON, SUNOO, JUNGWON, AND NI-KI) to play a game of Superlatives and we learned so. freakin. much. about this brand new group. They're so adorable when they reveal who has the best fashion sense and who's the best cook. Watch more Seventeen Superlatives: https://www.youtube.com/playlist?list=PLunx6D_le-dIFSyovlbHyhtjiE3yw6DDPProducer: Rachel LiebermanEditor: JY ChunGraphics: Kelsey Fink, Curtis Mariano & Meghan Schaefer♥ SEVENTEEN SHOWS ♥ Bestie Picks Bae: https://www.youtube.com/watch?v=owLomd3QqEQ&list=PLunx6D_le-dI9hebcWWp9a2mFpiO57OooLyric Challenge: https://www.youtube.com/watch?v=-0y2MvO69x0&list=PLunx6D_le-dKNOb0432qP9r2JfVPaQs7-Superlatives Challenge: https://www.youtube.com/watch?v=YJiv8wIgydQ&list=PLunx6D_le-dIFSyovlbHyhtjiE3yw6DDPSeventeen Firsts: https://www.youtube.com/watch?v=1YWMSZENEU8&list=PLunx6D_le-dJM1FMKIW2WmoxdbStHOhEWStyle Lab: https://www.youtube.com/watch?v=qhzz9cD9Hv0&list=PLunx6D_le-dLsfnFUGqJWkCM3M0WRalxDBullet Journaling w/ Noelle: https://www.youtube.com/watch?v=hKbzcjJLRRo&list=PLunx6D_le-dIyyE9bob0DqNB-ioEEsNw4♥ Subscribe to Seventeen! http://bit.ly/SUBToSEVENTEEN  ♥ ♥ Follow Seventeen ♥http://instagram.com/seventeenhttps://tiktok.com/@seventeenhttps://twitter.com/seventeenhttps://www.facebook.com/seventeenNEW Uploads Monday, Wednesday, Thursday, Friday at 5pm ET! YouTube.com/Seventeen is your daily video destination for fashion, beauty, celebrities and lifestyle! Tune in each week for fun, original programming hosted by Seventeen editors, exclusive behind-the-scenes features and interviews with the hottest celebs. Savvy, Smart, Stylish, Seventeen!"
167,mAr7rXtf2v8,SINGING TO STRANGERS ON OMEGLE! pt.5,2020-12-30T04:03:53Z,UCSVsSm4S2ZXNgT4hPqoTLBg,Justin Vasquez,22,21.11.01,justin|vasquez,243795,15036,114,1235,https://i.ytimg.com/vi/mAr7rXtf2v8/default.jpg,False,False,"Follow me on InstaGram @justinvasquez__SINGING TO STRANGERS PT.5!!!!Enjoy! WHAT'S UP GUYS!Please LIKE, SUBSCRIBE, & Turn on my post notifications to get the LATEST updates from this channel!InstaGram: https://www.instagram.com/justinvasquez__/?hl=enTwitter: https://twitter.com/justinvasquez__?lang=enFaceBook: https://www.facebook.com/JustinVasquezFoReal/?ref=settings"
338,AGLPg2_XHAM,CRAZY FUNNY PRANKS YOU CAN DO ON FRIENDS || Best Tricks And Life Hacks! Good VS Bad By 123 GO! BOYS,2021-01-05T14:00:06Z,UCR60_HSQe4sNvH53qbRxTQw,123 GO! BOYS,22,21.13.01,#123go,1245189,9999,1206,603,https://i.ytimg.com/vi/AGLPg2_XHAM/default.jpg,False,False,"Love to make your bodies squirm? Then grab a pen, because we’ve got some serious prankage coming your way!Which of these pranks are you dying to try? That fake barf was totally awesome! Try them on your friends — if you’re cool with them being mad at you for a while. Let us know how it goes!Subscribe to our YouTube channel so you never miss our videos! #123GO #challenge #prankMusic by Epidemic Sound: https://www.epidemicsound.com/Stock materials: https://www.depositphotos.com https://www.shutterstock.comThis video is made for entertainment purposes. We do not make any warranties about the completeness, safety and reliability. Any action you take upon the information on this video is strictly at your own risk, and we will not be liable for any damages or losses. It is the viewer's responsibility to use judgment, care and precautions if one plans to replicate.The following video might feature activity performed by our actors within controlled environment - please use judgment, care, and precaution if you plan to replicate.All product and company names shown in the video are trademarks™ or registered® trademarks of their respective holders. Use of them does not imply any affiliation with or endorsement by them."
350,oYsja9hT1Fc,Finally!! BAKLA na Kasama sa Christine Dacera CASE NAGKWENTO NA!,2021-01-05T07:42:46Z,UCcJQXwgXaWx0SuVX8pDtfRw,Showbiz Broadcast,22,21.14.01,showbiz broadcst|showbiz|philipines|artista|trending|angel locsin|coleen garcia|baby amari|vice ganda|christine dacera|suspek christine dacera|nagsalita na|mga kasamang lalaki ni christine dacera|christine angelica dacera|christine dacera flight attendant|flight attendant|pnp|pal|philippine airlines|city garden hotel|nagsalita na suspek sa christine dacera|tunay na nangyari,2809553,22855,1915,3286,https://i.ytimg.com/vi/oYsja9hT1Fc/default.jpg,False,False,FOLLOW US:FACEBOOK: https://www.facebook.com/ShowbizBroadcaster/WEBSITE: https://showbizbroadcaster.com/TWITTER: https://twitter.com/ShowbizBroadca1
386,U4qpmNXXf4o,Most Old Beautiful Love Songs 70's 80's 90's 💗 Best Romantic Love Songs Of 80's and 90's Playlistv,2021-01-12T04:55:37Z,UCv5guRs-WdTxaEMbsyjYkCg,Polska Machinima,22,21.14.01,romantic love songs|beautiful love songs|most beautiful love songs|greatest beautiful love songs|beautiful songs|romantic songs|english love songs|best romantic love songs|love songs playlist|love songs of all time|songs for love|love songs 80s|love songs 90s|love songs 70s|love songs ever|old beautiful|old love songs|old beautiful love songs|love songs|songs for lovers|oldies love songs|melow love songs,117981,663,82,14,https://i.ytimg.com/vi/U4qpmNXXf4o/default.jpg,False,False,"Most Old Beautiful Love Songs 70's 80's 90's 💗 Best Romantic Love Songs Of 80's and 90's Playlist01. I’ve Been Waiting For You02. Maybe This Time03. I Don't Want To Lose Your Love04. Don't Know What To Say 05. You Are The Reason06. (Everything I Do) I Do It For You07. All This Time08. Stuck On You09. Said I Love You But I Lied10. How Do You Heal A Broken Heart11. I Don't Want You To Go12. You Are Still The One13. To Love Somebody14. When You Say Nothing At All15. The Will Of The Wind16. How Am I Supposed To Live...17. Take Me Now18. Wonderful Tonight19. I Want To Know What Love Is20. Making Love Out Of Nothing At All21. Sometime When We Touch22. In Your Eyes23. Make It With You24. I’ve Been Waiting For You25. We Could Have It All26. If The World Was Ending27. Hard To Say I’m Sorry28. Faithful Thanks for watching! Don't forget to SUBCRIBE, Like & Share my video if you enjoy it! Have a nice day!"
411,pqAZJSO-C1E,"VIRAL! MGA TAO SA ROOM 2207 CCTV FOOTAGE IDENTIFIED NA NG N.B.I. CHRISTINE DACERA, VALENTINE ROSALES",2021-01-10T06:37:14Z,UCS5-lCKkbG8DeSxtSJMIOSw,PINOY SUPERSTARS TV,22,21.14.01,ROOM 2207 VIDEO|ROOM 2207 CHRISTINE DACERA|CHRISTINE DACERA TIKTOK|CHRISTINE DACERA NEWS|CHRISTINE DACERA LATEST|CHRISTINE DACERA UPDATE|CHRISTINE DACERA TV PATROL|CHRISTINE DACERA 24 ORAS|CHRISTINE DACERA TULFO|CHRISTINE DACERA RAFFY TULFO|CHRISTINE DACERA VLOG|CHRISTINE DACERA ABS CBN|CHRISTINE DACERA ACTUAL VIDEO|CHRISTINE DACERA GMA NEWS,573867,5206,410,1060,https://i.ytimg.com/vi/pqAZJSO-C1E/default.jpg,False,False,NA IDENTIFY NA DAW NBI ANG MGA TAO SA ROOM 2207 NA HULING NAKASAMA NI CHRISTINE DACERA BAGO ANG NANGYARI.VALENTINE ROSALES ISA SA MGA IDINADAWIT KAY CHRISTINE DACERA HUMIHINGI NG TULONG FINANCIAL HELP.PANOORIN ANG BUONG DETALYE!⚠️SOURCES and RECEIPTS📌GMA NEWS https://youtu.be/GPmS6xvc8uQ📌VALENTINE ROSALES FACEBOOK POSThttps://m.facebook.com/story.php?story_fbid=3602009493180051&id=100001131066201📌NEWS5 FACEBOOKhttps://www.facebook.com/News5Everywhere/#CHRISTINEDACERA #VALENTINEROSALES #PNP #DEBOLDSINAS #TVPATROL #ABSCBN #24ORAS #GMANEWS #ROMMELGALIDO #CLARKRAPINAN #JPDELASERNA__________________________________________________Related Keywords:FLIGHT ATTENDANT CHRISTINE DACERACHRISTINE DACERA LATEST CHRISTINE DACERA NEWS CHRISTINE DACERA INTERVIEW CHRISTINE DACERA UPDATE CHRSTINE DACERA LATEST UPDATE NEWS CHRISTINE DACERA TIKTOK CHRISTINE DACERA NEWSCHRISTINE DACERA TV PATROL CHRISTINE DACERA 24 ORASDEBOLD SINAS NEWS DEBOLD SINAS LATEST NEWS DEBOLD SINAS TULFO DEBOLD SINAS RAFFY TULFO DEBOLD SINASTITO SOTTO ABS CBN FRANCHISE TITO SOTTO ABS CBN SHUTDOWN ABS CBN MAGBABALIK NA SA 2021 TITO SOTTO ABS CBN FRANCHISE 2021PBB LIVE TODAY PBB LIVE STREAM TODAY 2021  PBB 2021 LIVE PBB LIVE UPDATES PBB FULL EPISODE PBB JANUARY 10  2021 PBB JANUARY 11 2021 PBB JANUARY 12 2021 PBB JUSTIN DIZON PBB RUSSU LAURENTE ABS CBN SHUTDOWNTV PATROL LIVE TV PATROL LIVE STREAM TODAY ABS CBN LIVE SHOWTIME LIVE TODAY PROBINSYANO LIVE PROBINSYANO LATEST EPISODETV PATROL LIVE JANUARY 10 2021TV PATROL LIVE JANUARY 11 202124 ORAS LIVE JANUARY 10 202124 ORAS LIVE JANUARY 11 2021VICE GANDA LATEST VLOG VICE GANDA NETWORK VICE GANDA SHOWTIME FUNNY MOMENTS VICE GANDA SONGS VICE GANDA FULL MOVIES VICE GANDA ABS CBN SHUTDOWNSHOWTIME LIVE TODAY SHOWTIME LIVE STREAM SHOWTIME JANUARY 9 2021 SHOWTIME FULL EPISODE TODAY SHOWTIME JANUARY 11 2021SHOWTIME JANUARY 12 2021______________________________________________Dont forget to Subscribe and Click the Bell Icon for more of your Daily Philippine Showbiz Updates! https://www.youtube.com/channel/UCS5-lCKkbG8DeSxtSJMIOS
447,yh3WW3NsvMo,"NEW Tagalog Reggae Classics Songs 2020 - Chocolate Factory ,Tropical Depression, Blakdyak",2020-12-30T22:00:12Z,UCk7n8c78wYziJ4g3wjfJsHA,Reggae Hits Pinoy,22,21.14.01,Reggae Music Hits Ever|Reggae Classic|best reggae music|best reggae music songs|reggae music 2020|best reggae of all time|reggae love songs|Bob Marley|bob marley r|Tropical Depression Reggea Songs|tropical depression 2020|tropical depression album|tropical depression tagalog|Kapayapaan|Bilog Na Naman Ang Buwan|Do The Reggae|Mahal Kita|Biyaheng Langit|Baleleng|Chocolate Factory|Tropical Depression|Blakdyak,281592,1602,260,58,https://i.ytimg.com/vi/yh3WW3NsvMo/default.jpg,False,False,"NEW Tagalog Reggae Classics Songs 2020 - Chocolate Factory ,Tropical Depression, BlakdyakThanks for watching! Don't forget to SUBCRIBE, Like & Share my video if you enjoy it! Have a nice day!© Follow Collection Love SongsYoutube → https://bit.ly/2XeS5lPTagalog Reggae Playlist : https://bitlylink.com/31ZMK🚫 If you have any problem with copyright issues, please CONTACT US DIRECTLY before doing anything, or question please write to me in email"
